2019-09-17 16:46:58.6481||DEBUG|QQQidian.Program|init main |url: |action: 
2019-09-17 16:47:07.7346||INFO|QQQidian.Controllers.HomeController|Enter getCustomerInfos |url: https://localhost/cus|action: getCustomerInfos
2019-09-17 16:47:08.6647||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000019.Retry Count = 0 |url: https://localhost/cus|action: getCustomerInfos
2019-09-17 16:47:08.6647||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000014.Retry Count = 0 |url: https://localhost/cus|action: getCustomerInfos
2019-09-17 16:47:08.6647||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000004.Retry Count = 0 |url: https://localhost/cus|action: getCustomerInfos
2019-09-17 16:47:08.8225||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000051.Retry Count = 0 |url: https://localhost/cus|action: getCustomerInfos
2019-09-17 16:47:08.8367||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000047.Retry Count = 0 |url: https://localhost/cus|action: getCustomerInfos
2019-09-17 16:47:08.8367||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000065.Retry Count = 0 |url: https://localhost/cus|action: getCustomerInfos
2019-09-17 16:47:08.8559||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000073.Retry Count = 0 |url: https://localhost/cus|action: getCustomerInfos
2019-09-17 16:47:08.8724||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000062.Retry Count = 0 |url: https://localhost/cus|action: getCustomerInfos
2019-09-17 16:47:08.8847||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000074.Retry Count = 0 |url: https://localhost/cus|action: getCustomerInfos
