2019-09-02 14:54:51.7702||DEBUG|ReadExcelPOC.Program|init main |url: |action: 
2019-09-02 14:55:15.1090||INFO|ReadExcelPOC.Controllers.CitiesController|Enter GetCityByAlias. Alias=fier |url: https://localhost/api/cities/alias/param|action: GetCityByAliasParam
2019-09-02 14:55:15.4191||INFO|ReadExcelPOC.Controllers.CitiesController|GetCityByAlias result=[{"GEOID":"2H1SM08EJEGS6","StandardName":"Caffiers,France","Alias":"Caffiers, France"},{"GEOID":"38W3BEWRWYT72","StandardName":"Fierbinti-Targ,Romania","Alias":"Fierbinti-Targ, Romania"},{"GEOID":"1LRQ74CTBWXHE","StandardName":"Fieri,Albania","Alias":"Fier"},{"GEOID":"1PL8WH3WFK45L","StandardName":"Bruffiere,France","Alias":"Bruffiere, France"}] |url: https://localhost/api/cities/alias/param|action: GetCityByAliasParam
2019-09-02 14:55:15.4191||INFO|ReadExcelPOC.Controllers.CitiesController|End GetCityByAlias |url: https://localhost/api/cities/alias/param|action: GetCityByAliasParam
2019-09-02 14:55:18.5469||INFO|ReadExcelPOC.Controllers.CitiesController|Enter GetCityByAlias. Alias=qingdao |url: https://localhost/api/cities/alias/param|action: GetCityByAliasParam
2019-09-02 14:55:18.7355||INFO|ReadExcelPOC.Controllers.CitiesController|GetCityByAlias result=[{"GEOID":"1YCLYW8V7RZB2","StandardName":"Qingdao,China","Alias":"QINGDAO"}] |url: https://localhost/api/cities/alias/param|action: GetCityByAliasParam
2019-09-02 14:55:18.7355||INFO|ReadExcelPOC.Controllers.CitiesController|End GetCityByAlias |url: https://localhost/api/cities/alias/param|action: GetCityByAliasParam
2019-09-02 14:55:21.5343||INFO|ReadExcelPOC.Controllers.CitiesController|Enter GetCityByAlias. Alias=123 |url: https://localhost/api/cities/alias/param|action: GetCityByAliasParam
2019-09-02 14:55:21.7078||WARN|ReadExcelPOC.Controllers.CitiesController|Alias not found. |url: https://localhost/api/cities/alias/param|action: GetCityByAliasParam
2019-09-02 14:55:27.1991||INFO|ReadExcelPOC.Controllers.CitiesController|Enter GetCityByAlias. Alias= |url: https://localhost/api/cities/alias/param|action: GetCityByAliasParam
2019-09-02 15:34:06.5646||DEBUG|ReadExcelPOC.Program|init main |url: |action: 
2019-09-02 16:36:54.3270||DEBUG|ReadExcelPOC.Program|init main |url: |action: 
